kep_id,num_points,time_span,mean_flux,median_flux,std_flux,max_flux,min_flux,range_flux,koi_period,koi_duration,koi_depth,koi_prad,koi_ror,koi_dor,koi_sma,koi_impact,koi_model_snr,koi_insol,koi_teq,koi_steff,koi_slogg,koi_srad,label
12306058,65265,1470.4625297997409,1.0000014593480129,1.0,0.0001801971884347,1.0085647106170654,0.9986879229545592,0.0098767876625061,13.951109815,8.7515,81.05,3.48,0.009584,6.404999999999999,0.11535000000000001,0.8534999999999999,19.25,612.505,1220.0,4938.0,3.45,3.324,1
5042210,65267,1470.4622463152482,1.0000021536950765,1.0,0.0001369821494979,1.0041773319244385,0.9986914396286012,0.0054858922958374,12.14684625,6.197,70.7,1.75,0.008175,11.08,0.1096,0.687,27.1,342.49,1097.0,5877.0,3.927,1.963,1
12071006,65266,1470.462499617788,0.9392741257293707,1.0,0.1900006542300605,1.0474183559417725,0.101458728313446,0.9459596276283264,6.096030635,18.4531,901660.0,406.97,1.384397,5.9844,0.0816,0.642,4885.3,3246.2,1925.0,7598.0,3.867,2.692,0
10619109,52202,1470.4624285130558,0.9819913298915818,1.0,0.059580208768416,1.2231403589248655,0.7260701060295105,0.4970702528953552,2.045166206,6.84312,263640.0,131.41,0.563641,3.4058,0.036,0.661,1488.6,8125.86,2422.0,7128.0,3.95,2.135,0
2581191,64795,1459.488823602027,0.9999854081611096,1.0,0.0006207013997079,1.0132229328155518,0.996934175491333,0.0162887573242187,87.08459721,2.1365,317.4,1.73,0.0156945,550.254,0.32635,0.15505000000000002,15.0,665.495,944.0,6203.0,4.463,1.007,0
8636333,64793,1459.4890559761843,1.0000097697121126,1.0,0.000591004859365,1.061673283576965,0.9973464608192444,0.0643268227577209,82.175197,8.664,546.4,2.24,0.021508,74.01,0.373,0.015,20.8,8.92,441.0,6247.0,4.489,0.954,1
10794242,64792,1459.4892339778526,0.9957684955571976,1.0,0.0286446426258418,1.0293071269989014,0.7688003778457642,0.2605067491531372,7.143708297,5.83451,202680.0,44.78,0.413415,13.16,0.0694,0.162,2368.6,187.0,943.0,5655.0,4.386,0.992,0
4484356,51817,1459.488854589159,0.9916418648411196,1.0,0.0338501642995839,1.049114227294922,0.8421399593353271,0.2069742679595947,0.572079631,2.27811,127790.0,29.45,0.422048,2.5,0.0116,0.793,578.2,2036.56,1716.0,5233.0,4.625,0.639,0
8332986,64799,1459.4890054831849,0.9999988060490298,1.0,0.0007045058546455,1.03449285030365,0.9568451642990112,0.0776476860046386,302.3886782,3.1229,41320.0,40.73,0.435247,651.1,0.8341,1.134,294.8,0.76,238.0,5328.0,4.499,0.857,0
7672097,64792,1459.4890768254627,1.0000164217208327,1.0,0.0008050970645878,1.0853089094161987,0.9952082633972168,0.0901006460189819,7.97033985,2.6675,490.8,1.81,0.020226,23.17,0.0755,0.107,23.5,116.77,839.0,5774.0,4.567,0.818,1
7109680,64793,1459.489035696366,0.9999997566000316,1.0,0.0001933169262949,1.0059529542922974,0.9989829063415528,0.0069700479507446,81.871309,1.606,98.2,1.12,0.00917,385.0,0.3783,0.1996,5.4,12.59,480.0,6343.0,4.375,1.115,0
8308639,64794,1459.489042183799,1.0000023596950287,1.0,0.0003654742648891,1.0095263719558716,0.99817955493927,0.0113468170166015,457.513348,5.763,562.5,25.18,0.029487,224.0,1.4802,0.9613,3.9,16.21,512.0,5047.0,2.966,7.821,0
9118340,64797,1459.4890556965763,0.9999449132404876,1.0,0.0004841339089752,1.0173107385635376,0.996991753578186,0.0203189849853515,1.035329922,3.8022,992.8,105.66,0.275495,1.388,0.0253,1.243,178.0,42120.85,3654.0,7030.0,3.65,3.512,0
9790965,52204,1470.4623978037416,0.998848820979929,1.0,0.0077582555046246,1.02261483669281,0.9672623872756958,0.0553524494171142,2.7845411999999996,3.14605,14906.0,6712.355,31.9980775,37.7515,0.038849999999999996,32.86595,248.20000000000002,9728.285,2290.5,6531.0,3.962,1.921,0
11147460,64795,1459.4892137629722,0.9998040049483962,1.0,0.0012566837391804,1.0108031034469604,0.9914235472679138,0.0193795561790466,2.053866175,4.8045,5021.3,158.25,0.354413,2.042,0.0318,1.265,380.5,9631.57,2528.0,5051.0,3.22,4.089,0
7202957,65262,1470.4623248122662,0.999913537153586,1.0,0.002418304864358,1.0064061880111694,0.9893201589584352,0.0170860290527343,4.942083407,2.7025,82.2,0.885,0.008977,8.115,0.05355,0.7505,14.5,594.635,1160.0,5808.0,4.522,0.902,1
11092040,64795,1459.4892145516787,1.0000114798297466,1.0,0.0003951420045276,1.0252708196640017,0.9979246258735656,0.0273461937904357,419.92898,14.55,233.5,1.51,0.013995,223.4,1.0835,0.0299,7.5,1.0,255.0,6047.0,4.431,0.988,0
6199864,64797,1459.4889842600023,1.0000290817608557,1.0,0.0037483420476141,1.0806165933609009,0.9824333786964417,0.0981832146644592,262.477098,5.816,1016.0,1.92,0.028333,354.0,0.6821,0.0753,9.7,0.24,178.0,4227.0,4.641,0.62,0
2438061,46373,1051.5305457710638,1.0003978073965845,1.0,0.0127166040155661,1.0912151336669922,0.929751992225647,0.1614631414413452,2.442941283,4.1847,37338.0,48.18,0.441189,4.0,0.0356,1.164,229.7,788.17,1352.0,5780.0,4.438,1.0,0
12008916,65266,1470.4625206453638,1.000002672814338,1.0,0.0002628149027639,1.00356125831604,0.9989306926727296,0.0046305656433105,47.4314857,4.511,172.8,8.83,0.011733,81.3,0.3379,0.014,10.3,265.1,1029.0,5166.0,3.12,6.891,0
6675056,63168,1421.23614389274,0.9999990322737528,1.0,0.0007968471595961,1.0436722040176392,0.9932386875152588,0.0504335165023803,10.44331991,2.743,1159.8,2.66,0.030416,29.22,0.0857,0.23,51.7,46.94,667.0,4947.0,4.516,0.802,0
7595157,64792,1459.489080390158,1.000001312109891,1.0,0.000282878722782,1.013742208480835,0.9982833862304688,0.0154588222503662,2.8712463215,1.498,174.89999999999998,1.305,0.012111,12.635,0.037500000000000006,0.5075000000000001,26.75,509.80999999999995,1205.5,5300.0,4.385,0.986,1
2997455,64795,1459.4888292404576,0.9998327839263236,1.0,0.0009592043587978,1.017255783081055,0.9929875135421752,0.0242682695388793,1.129848432,2.07578,4658.5,120.13,0.154904,2.336,0.0257,1.042,490.6,37690.9,3553.0,4846.0,2.984,7.102,0
8494617,64794,1459.4890829756696,1.0000038706719458,1.0,0.0001874710554012,1.0096652507781982,0.9983924031257628,0.0112728476524353,22.9221181,8.2,140.3,1.33,0.011289,17.36,0.1564,0.603,24.0,51.7,684.0,5897.0,4.357,1.081,1
8805348,65261,1470.462411639237,1.000001131616023,1.0,0.0001728243389783,1.013551950454712,0.997828245162964,0.015723705291748,29.90721859,4.8475,588.0,2.16,0.022053,48.16,0.1805,0.022,79.8,23.92,564.0,5739.0,4.476,0.896,1
5264304,54966,1238.6049006612811,0.9997550213097944,1.0,0.0071051965022975,1.0388671159744265,0.8060474395751953,0.2328196763992309,120.5816718,8.2904,192900.0,41.71,0.567504,146.7,0.4322,0.845,1184.8,1.7,291.0,5294.0,4.651,0.673,0
10419211,51731,1459.4891612193242,0.9998822660656882,1.0,0.0015040233567181,1.0317639112472534,0.9809314608573914,0.050832450389862,11.52144606,3.6399,17984.0,150.51,1.625358,20.75,0.0978,2.483,622.1,75.88,753.0,5795.0,4.554,0.848,0
5471574,64797,1459.4888861812724,0.9999858117985544,1.0,0.0004486117443942,1.0138390064239502,0.9976837038993835,0.0161553025245666,6.693748383000001,24.275,255.15,99.09,0.5306695,1.5673000000000001,0.06584999999999999,1.51865,72.8,15908.355,2249.0,6542.0,3.8705,2.309,0
9480310,41904,1238.6033909073958,1.000007899076247,1.0,0.0007402195875778,1.0558465719223022,0.994267761707306,0.0615788102149963,15.43400996,4.2572,1785.9,4.3,0.04136,21.2,0.124,0.707,59.7,63.79,721.0,5900.0,4.509,0.951,1
9535876,64793,1459.4891144763678,0.9999915735546766,1.0,0.0008201038106689,1.025577425956726,0.9956651329994202,0.0299122929573059,0.960843605,3.22,141.7,19.15,0.155362,1.211,0.0197,1.143,25.5,3120.32,1904.0,5708.0,4.378,1.129,0
8560840,64794,1459.489082698572,1.0000080758948997,1.0,0.0006368662517849,1.0655620098114014,0.9962209463119508,0.0693410634994506,31.9734169,13.262,1414.4,24.1,0.285156,6.32,0.1876,1.24,62.5,9.01,442.0,4931.0,4.595,0.774,0
5526527,64797,1459.4889590115854,0.9992968892207446,1.0,0.014012806370089,1.0419217348098757,0.9515647888183594,0.0903569459915161,16.7364755,2.151,1147.0,2.73,0.038278,30.8,0.1107,0.9,9.9,10.99,464.0,4334.0,4.618,0.653,1
7601633,33913,1470.4623465596378,0.9999691687615052,1.0,0.0005830365260007,1.0221350193023682,0.9935463666915894,0.0285886526107788,15.66388695,2.4775,5144.4,27.36,0.112808,25.0,0.1382,0.985,175.9,298.77,1060.0,5996.0,3.901,2.221,0
11499228,51501,1459.4893151169165,0.999961301224044,1.0,0.0005589657393404,1.0239143371582031,0.9963518977165222,0.0275624394416809,19.7919389,3.787,383.7,2.58,0.022714,14.76,0.1473,0.954,22.8,69.48,736.0,6285.0,4.441,1.039,1
11669239,64795,1459.4892586567075,1.0000091776305835,1.0,0.000379200332053,1.030207633972168,0.9965446591377258,0.0336629748344421,27.851389585,5.5120000000000005,455.29999999999995,2.66,0.023678,15.040000000000001,0.16685,0.942,33.7,54.045,660.5,5735.0,4.356,1.028,1
9220612,64797,1459.489114594231,0.9997094170137316,1.0,0.007375309529095,1.0368322134017944,0.9736285209655762,0.0632036924362182,0.979161676,2.942,160.2,1.03,0.012122,2.15,0.0184,0.634,20.2,1357.43,1548.0,5390.0,4.591,0.78,0
4860932,64797,1459.4888605547676,1.00000757323295,1.0,0.0003735471245634,1.032145619392395,0.9971234798431396,0.0350221395492553,12.36564669,3.644,388.4,24.89,0.23938,5.78,0.1059,1.22,22.8,98.51,804.0,6075.0,4.495,0.952,0
6279823,64797,1459.4889896715977,1.0000716381636543,1.0,0.0028387086379891,1.1070325374603271,0.9864368438720704,0.1205956935882568,485.52409,11.04,4147.0,6149.09,70.387939,930.0,1.1661,71.3346,10.8,0.31,191.0,5227.0,4.584,0.8,0
5512580,50173,1426.4465273339663,1.0000178542147695,1.0,0.0006450915304632,1.0532543659210205,0.9974948763847352,0.0557594895362854,383.00806,9.71,632.1,2.2,0.022812,308.0,1.0256,0.0358,7.6,0.72,235.0,5750.0,4.538,0.882,0
7543649,54966,1238.603775048061,0.9999831389178052,1.0,0.0004963802168468,1.0324711799621582,0.9969787001609802,0.0354924798011779,3.582076914,4.4228,1534.4,5.33,0.049191,2.726,0.0451,0.966,138.4,604.27,1265.0,6109.0,4.422,0.993,0
6021275,50642,1437.4198608831211,0.999998407669012,1.0,8.915790577099253e-05,1.0021759271621704,0.9979011416435242,0.0042747855186462,12.212556165,3.43945,133.15,1.4049999999999998,0.011659,10.89,0.09855,0.8220000000000001,43.45,193.555,913.5,5931.0,4.322,1.101,1
8676038,64792,1459.489157703203,1.000008765418105,1.0,0.0004384213986838,1.0084866285324097,0.9943723678588868,0.0141142606735229,136.62378887,9.245000000000001,444.1,2.51,0.021816,14.94,0.08399999999999999,0.545,23.4,168.45,906.0,5780.0,4.438,1.0,0
12024120,65266,1470.462494867577,0.9999997424852128,1.0,0.0001254212195243,1.003202199935913,0.9990352988243104,0.0041669011116027,3.568099612,3.2131,98.4,1.36,0.00935,7.32,0.0473,0.531,52.5,926.89,1407.0,6007.0,4.232,1.334,1
7431665,65261,1470.4623546967196,0.999901966546242,1.0,0.0013913433818571,1.0060518980026243,0.9819105863571168,0.0241413116455078,281.509095,40.963,5948.7,85.77,0.073347,45.8,1.0218,0.626,182.5,52.05,685.0,4797.0,2.632,10.709,0
9300285,64797,1459.4890792595615,0.9999512020332192,1.0,0.0004645976028499,1.0253190994262695,0.9973185658454896,0.02800053358078,1.012672041,3.0512,1197.6,5.89,0.040293,1.4291,0.0212,0.957,237.4,7026.31,2337.0,6663.0,4.275,1.338,0
