kep_id,num_points,time_span,mean_flux,median_flux,std_flux,max_flux,min_flux,range_flux,label
12024120,469,9.7062927,227290.70072627932,227289.5,34.106220466433996,227389.5156,227207.6719,181.84375,1
5562090,4070,88.7028061,7291.0409206081085,7290.725341796875,5.787577874238413,7377.641113,7273.8125,103.8286133,1
2164169,1624,33.471672253581346,17571.680428340518,17571.51074,6.608909796486767,17628.04102,17548.00977,80.03125,1
7730747,1624,33.471151457648375,39828.316028613765,39824.49023,30.40100990219399,40826.70703,39779.45313,1047.253906,1
4271474,1624,33.47165944661538,5781.794882187115,5782.442626953125,31.939600315430553,5861.170898,5716.970703,144.2001953,1
5091479,1624,33.471502667773166,12627.391275640779,12629.46240234375,11.367973452092778,12669.03027,12592.86133,76.16894531,1
6517255,1624,33.471472066259594,46398.35314520474,46398.5957,20.789791959455652,46478.69531,46329.73828,148.9570313,1
10864656,469,9.706309530964063,199820.0845215885,199819.4844,39.42886942275575,199959.625,199715.8281,243.796875,1
7891294,4070,88.70225608,103976.57783707003,103976.7813,16.537687248490062,104490.4375,103918.1719,572.265625,1
7772914,1624,33.47162528651825,22805.725068792333,22793.13867,77.15524669117698,22950.5,22659.51563,290.984375,1
6359320,4108,89.80591485169134,7831.040270960435,7830.780762,5.729121318779467,7930.449219,7811.63623,118.8129883,1
5358241,1624,33.471523680971586,9419.256446875963,9419.192383,5.051182981497355,9456.783203,9398.419922,58.36328125,1
6428700,1624,33.47136633367336,10828.56586505157,10837.92285,28.816580632568456,10882.39355,10756.5791,125.8144531,1
6504954,1624,33.47132337129733,11792.302445134506,11792.42383,6.197895964627952,11827.90918,11734.06445,93.84472656,1
4252671,469,9.706407593410404,90229.99998334222,90229.10156,10.652172942207878,90278.08594,90196.53906,81.546875,1
6424561,1624,33.471301233410486,12250.398559570312,12250.76123046875,6.276451097519239,12273.0752,12227.16211,45.91308594,1
5683219,469,9.706352859815524,59702.77338752665,59702.26563,10.66971622681303,59747.81641,59675.23438,72.58203125,1
5546761,1624,33.471661134055466,15894.687355680418,15894.41357421875,7.3158676664866045,16080.62207,15876.91211,203.7099609,1
6226290,4070,88.70270654905471,7648.461160045877,7650.083984,20.981471081627227,7707.367676,7586.739258,120.628418,1
11599038,1624,33.47107057775429,10036.560288302417,10036.29833984375,7.7311202482368735,10259.11426,10020.02441,239.0898438,1
9141355,1624,33.47121460807102,7999.317569225293,7999.121582,7.040072020207949,8200.686523,7981.952637,218.7338867,1
6665064,1624,33.47119913507777,11444.646391168604,11444.39599609375,7.532720649234778,11480.02246,11414.33301,65.68945313,1
10843590,1624,33.47104687326646,25403.093401227678,25402.28125,13.74048847616576,25443.25977,25364.47852,78.78125,1
4844470,1624,33.471653481028625,28160.40493188116,28157.25879,154.10273695617673,28445.67578,27803.79883,641.8769531,1
6185331,1624,33.47130184738489,7432.258477873403,7432.171142578125,4.908380489449529,7466.852539,7402.553223,64.29931641,1
9697131,469,9.706296121432388,1173469.2547974414,1173632,1119.207756335997,1175107,1170718,4389,1
2019477,469,9.706450098856294,69883.78718017058,69883.95313,14.46566252014898,69923.75781,69845.64063,78.1171875,1
7287683,469,9.706384145385528,234138.66497867805,234139.2813,17.64008156485727,234235.7188,234086.8594,148.859375,1
12404305,1624,33.471142185051576,31921.308289476216,31920.5127,9.991205678,31969.28125,31880.48242,88.79882813,1
11868941,1624,33.47129692976887,46229.96902180188,46230.12695,10.721837801055704,46333.67578,46199.23438,134.4414063,1
11037335,1624,33.47137757,28664.732450738917,28664.375,8.592477068,28889.36133,28644.41602,244.9453125,1
10797460,1624,33.471311346875154,11263.119826744343,11261.50684,13.421848227752685,11306.51172,11231.88379,74.62792969,1
6358937,1624,33.471475264886976,27854.141974388083,27854.29883,7.212482502,27878.75195,27832.88672,45.86523438,1
6767227,469,9.706368214414397,96313.01002798507,96312.94531,11.60757987,96363.20313,96273.86719,89.3359375,1
8561231,1624,33.47144132725953,8392.299261685075,8392.364258,8.871166280027357,8436.416992,8367.066406,69.35058594,1
10070468,1624,33.471297987984144,18478.718062076663,18478.60254,5.525264665859248,18516.5625,18459.92188,56.640625,1
10525027,1624,33.47120162357169,31536.30101095867,31545.05957,131.06015983508047,31777.08008,31286.70898,490.3710938,1
5599774,1624,33.47132411018538,6049.035683317137,6048.843017578125,5.398491919347296,6068.902344,6032.803711,36.09863281,1
8492026,1624,33.47139815952687,35225.49359942657,35225.95703,11.857832896520396,35463.71875,35186.01172,277.7070313,1
10723750,1624,33.47123234301398,29927.065405634236,29930.37207,21.570788561612257,30000.5,29758.5918,241.9082031,1
3962357,1624,33.47166472185927,23209.791016827665,23209.48828,10.802203149352938,23424.08594,23185.56445,238.5214844,1
3646449,1624,33.47161784,9008.811618447891,9009.129395,6.073052594,9027.756836,8987.959961,39.796875,1
7816935,1624,33.47141602904594,13767.023303403055,13768.03662109375,8.420089451598612,13792.94043,13740.57813,52.36230469,1
11090556,1624,33.47136604996922,46046.15966075277,46046.39453,9.606432707265858,46097.08594,46015.42188,81.6640625,1
6516185,4108,89.80594154653954,6844.052963,6843.864990234375,5.523528149200568,7041.434082,6829.894043,211.5400391,1
5868793,4272,89.82579085,3109.135853342349,3110.9302978515625,13.81803447989796,3188.185791015625,3065.686279296875,122.4995117,1
11773022,1624,33.47135516560229,18632.62526097791,18642.16113,75.25607188591708,18773.06055,18480.98242,292.078125,1
7905106,469,9.706385745805164,295710.40411780385,295710.5313,19.780650985314747,295812.25,295653.7813,158.46875,1
12253490,1624,33.47113162804453,13485.728705645783,13491.43603515625,32.26954000350538,13849.84277,13008.58008,841.2626953,1
3935914,4070,88.70139505525003,7637.055425560504,7640.536621,23.26495955055239,7782.410156,7499.770996,282.6391602,1
9828127,1624,33.47132772325131,16365.504089054803,16365.71142578125,10.759698716231037,16422.74805,16334.6123,88.13574219,1
4384909,4108,89.80539866405888,8155.759694902667,8155.473388671875,6.406831641586307,8309.894531,8136.190918,173.7036133,1
6128245,1624,33.47157788138429,17852.407482729755,17855.06934,19.88478207824665,17901.08008,17790.87891,110.2011719,1
9834731,1624,33.47140061123355,17621.974116283098,17621.88574,6.383691921180597,17681.10742,17599.04297,82.06445313,1
8890924,469,9.706354616,70585.53624733475,70585.5,11.533507868347916,70632.15625,70556.49219,75.6640625,1
6517200,1624,33.47147188174131,8122.637521227005,8122.568603515625,4.541344692541665,8155.907715,8105.937012,49.97070313,1
5716932,469,9.706416088469268,55907.36661,55906.75391,9.501517858299122,55944.04297,55882.86328,61.1796875,1
3458028,469,9.706446307674923,311608.1359275053,311608.5313,80.75013298691624,311900.9063,311395.7188,505.1875,1
9693006,469,9.706281499,92376.51772388059,92376.0625,10.41504718175543,92407.8125,92348.74219,59.0703125,1
10907307,1624,33.471110173515626,109344.00003848522,109337.6055,134.01645182592446,109768.9844,109012.6094,756.375,1
10686864,1624,33.47148859676963,6355.815065280557,6354.685791015625,10.291596340028303,6407.290039,6331.368652,75.92138672,1
8637903,1624,33.47154418834543,37636.39898350908,37636.66797,12.404458685361496,37729.65234,37595.33203,134.3203125,1
12302530,1624,33.47112169362663,29810.631704847212,29822.08887,74.75460258205428,30071.42578,29650.09375,421.3320313,1
9995771,4108,89.80624147082563,10422.782791152553,10422.66064453125,5.2393396383411535,10537.09375,10406.35645,130.7373047,1
2165002,1624,33.471678039073595,9051.046764354987,9051.171387,20.010971298910945,9108.049805,9006.787109,101.2626953,1
8277797,469,9.706301195,53618.79323527452,53629.55859,76.60255148506756,53844.17578,53398.17578,446,1
7901948,1624,33.47156043224095,14342.713430019436,14342.49023,6.591982611,14382.69531,14320.87012,61.82519531,1
8379705,1624,33.47156511,6499.355381857586,6498.895751953125,10.356097802315636,6801.264648,6483.818359,317.4462891,1
11824578,469,9.706296945740178,63076.45282515991,63075.48047,19.942647009187755,63406.44141,63034.22266,372.21875,1
8578780,1624,33.47158601456613,12341.620963862377,12345.00391,20.245549980592717,12537.3291,12287.03223,250.296875,1
5956656,1624,33.471507704249234,10548.128718033213,10548.38965,7.1780819221997065,10572.05566,10524.98145,47.07421875,1
3745559,1624,33.47159512330836,25891.67515706781,25884.20898,67.16896933,26079.98438,25754.20117,325.7832031,1
10601284,1624,33.47133177764772,10733.788234466403,10733.78857421875,6.707838768148004,10755.09766,10713.72852,41.36914063,1
5946568,469,9.706372511,102497.87934768124,102658.7109,511.5267636481291,103229.0938,101456.1484,1772.945313,1
7040629,1624,33.471556998454616,55590.35187759775,55590.10156,8.494989492,55628.16797,55564.16797,64,1
9076513,1624,33.47123638413905,23012.57891514971,23012.4209,6.1610795377043255,23103.71484,22996.77344,106.9414063,1
2994092,4108,89.80586006268277,5589.591194962573,5589.440673828125,5.553450360751572,5664.442871,5568.222656,96.22021484,1
6507433,4108,89.80627523284056,9766.933999,9794.634277,125.3947445433293,10091.87695,9480.193359,611.6835938,1
6221385,4269,97.16259576235461,28167.759677782415,28169.97656,18.409816427918184,28429.11523,28108.50391,320.6113281,1
9729691,1624,33.47153528688068,21868.56035324623,21878.23633,57.823214301799105,21997.04297,21749.08008,247.9628906,1
10535708,1624,33.47133041163033,8913.113518174647,8913.65918,8.297295984509597,8963.217773,8886.205078,77.01269531,1
9178894,469,9.706369722895033,484512.64172441367,484522.125,63.71884626490948,484660.1875,484349.6875,310.5,1
7132462,1624,33.471605592771084,51641.28629878002,51640.82422,11.953133574304795,51902.90625,51610.05859,292.8476563,1
6685526,1624,33.471460764310905,14942.271711077008,14939.03076171875,22.177119565002062,15497.37695,14904.25488,593.1220703,1
8216763,1624,33.47122315248998,14062.52114341999,14059.18310546875,17.81203230750878,14111.02637,14025.7666,85.25976563,1
9650808,1624,33.47138941568846,11032.579874874924,11032.58203,5.531368381518406,11072.16602,11013.26563,58.90039063,1
3217264,1624,33.47144455790112,34588.87709984991,34589.18945,10.811209579986317,34624.57031,34510.375,114.1953125,1
2579043,1624,33.47165792,14765.440333474446,14765.20751953125,6.867293970107539,14854.25195,14742.80859,111.4433594,1
4545570,1624,33.471422332469956,7351.559235370805,7351.131348,5.630391205153369,7382.122559,7337.586914,44.53564453,1
8328916,1624,33.471664824537584,23096.985391250386,23096.91797,7.950338010998942,23147.06055,23067.74609,79.31445313,1
3425851,469,9.706399404989497,778815.8224946695,778818.5625,53.520400259992854,779092.625,778644.25,448.375,1
9390228,1624,33.47118162283732,8670.771878848522,8668.066895,28.94380293603231,8725.667969,8612.194336,113.4736328,1
6305192,1624,33.47167492554581,32925.80674164871,32931.70313,41.94420352252826,33133.74219,32748.82422,384.9179688,1
2852810,469,9.706437038803415,122947.70890525053,122948.0078,30.294877641691386,123075.3984,122860.8906,214.5078125,1
9395719,1624,33.471272359151044,9173.936635285176,9173.6875,5.077308843764304,9268.192383,9161.614258,106.578125,1
7825899,1624,33.471498683458776,11966.38949690194,11966.33203,27.720463211775485,12074.18164,11888.60254,185.5791016,1
5009743,1624,33.47156556976552,38470.232313635315,38470.09766,8.955493559949657,38514.35938,38440.97656,73.3828125,1
5003670,1624,33.47150864604919,15198.420650688886,15198.74023,10.990817105523405,15228.46387,15164.41211,64.05175781,1
9773980,1624,33.47140140658303,23956.930144512007,23957.04492,6.818836797839258,23996.74023,23935.04688,61.69335938,1
11290515,469,9.706278105695674,166373.20382462686,166373.1719,14.009342123222904,166475.2188,166329.5156,145.703125,1
6346894,469,9.706356474278437,166096.46268656716,166083.6406,576.8780042022169,167098.9063,164938.5938,2160.3125,1
9965957,1624,33.47149332468689,11307.485651626963,11313.19043,61.98445539,11435.83887,11194.37793,241.4609375,1
7974634,1624,33.471584695522324,189657.47523475986,189653.3906,44.65434902839267,189813.7969,189530.5781,283.21875,1
11852982,1624,33.471060281284736,26443.662304206435,26440.41406,148.8953037067976,26729.43945,26157.29883,572.140625,1
4172805,1624,33.47169989954273,7385.327079284368,7385.120605,5.153884825159998,7415.34082,7368.701172,46.63964844,1
9221528,4108,89.80544960216503,12091.074784766386,12090.93798828125,6.6704391915575565,12138.29102,12065.8877,72.40332031,1
9662811,469,9.706349487001717,55447.8428,55447.92969,8.672067553367881,55506.99609,55421.40234,85.59375,1
9147012,4486,94.65170493695769,6100.726831022034,6100.654541015625,5.533097612,6253.409668,6075.55957,177.8500977,1
7820699,1624,33.47144807352743,17478.038947044333,17478.11719,6.757198799400498,17511.11914,17457.78516,53.33398438,1
8423344,4108,89.80590325,8418.263000785433,8416.261719,48.79542979602417,8629.972656,8329.720703,300.2519531,1
3942670,1624,33.47149264,36423.74262286407,36423.74023,8.523267932079877,36511.79297,36394.03125,117.7617188,1
9958962,1624,33.471434565333766,15652.115568114032,15666.60742,77.53634541563731,15810.8125,15483.69727,327.1152344,1
11021266,1008,20.82145798169222,8604.785406203497,8604.930176,4.240925423025805,8625.223633,8591.788086,33.43554688,1
11037818,1624,33.47138494889077,16828.966446900016,16828.45508,6.6044586271648384,16920.63672,16812.57227,108.0644531,1
8894646,1624,33.471496221623966,42994.58421528633,42994.50391,9.162878573,43062.80469,42958.72266,104.0820313,1
10554421,1624,33.47148418777215,22280.49924,22279.96484,7.480622118379725,22387.69727,22260.75391,126.9433594,1
5716763,469,9.706415832,202264.0315498401,202266.9844,24.905994309326324,202327.0469,202151.4844,175.5625,1
8630788,1624,33.471485589645454,7344.975231753194,7345.308349609375,5.980008590467428,7379.708008,7318.08252,61.62548828,1
10709622,1624,33.4710188,13177.92397605257,13177.67578,6.663947048302076,13218.89941,13159.60352,59.29589844,1
5881688,1624,33.471592805712135,10818.66452011334,10818.85595703125,7.470588277895811,10844.71582,10772.64648,72.06933594,1
6067545,469,9.706423966,85818.73791,85818.1875,11.72059472737568,85878.02344,85785.42969,92.59375,1
11923270,1624,33.471336108472315,5733.086329,5733.208251953125,16.472490531181794,5894.538574,5685.322266,209.2163086,1
3848083,4108,89.80598886,5924.236826152857,5924.168457,4.133239589200272,5978.712402,5908.753418,69.95898438,1
3936061,1624,33.471405328731635,19025.961933305112,19025.44824,9.692570468773583,19272.68555,19003.95508,268.7304688,1
6786348,1624,33.471579291290254,7282.096922324796,7281.820068359375,4.659329452358831,7350.446289,7269.964844,80.48144531,1
6679295,4108,89.80612105,5577.171347970043,5580.869141,22.548358407851563,5630.767578,5517.134766,113.6328125,1
6277410,1624,33.47145464051573,10655.850809632851,10655.68994140625,6.638677635095477,10746.22852,10637.69824,108.5302734,1
3548622,1624,33.47164282821177,21275.830754021707,21275.82324,7.208802182,21320.89453,21252.00586,68.88867188,1
